lane,shipment_count,total_emissions,average_emissions,average_utilization,average_transit_time_hrs,average_speed_kmph,average_co2_per_ton_km,hotspot_tag,recommendation_summary
Agra - Ahmedabad,2,1412.5,706.25,84.0428907542808,21.5,55,0.2977,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Agra - Aurangabad,2,1339.1,669.55,46.1486019939512,23,60,0.3579,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Agra - Bangalore,2,3075.1,1537.55,85.6910864150503,47.1,52,0.0717,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Agra - Belgaum,2,2016.9,1008.45,64.1751630711399,34.55,61,0.1144,Normal,Monitor lane performance and maintain current operating plan
Agra - Bhopal,2,709.5,354.75,65.568379568064,14.3,55,0.3313,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Agra - Chandigarh,3,1400.3,466.766666666667,79.9329130422345,14.9666666666667,48.6666666666667,0.0923333333333333,Normal,Monitor lane performance and maintain current operating plan
Agra - Delhi,3,665.5,221.833333333333,75.278026270489,10.7,34.6666666666667,0.0925666666666667,Normal,Monitor lane performance and maintain current operating plan
Agra - Durgapur,1,939,939,84.4078374385633,27.3,62,0.1344,Normal,Monitor lane performance and maintain current operating plan
Agra - Faridabad,1,163.2,163.2,98.9395544312588,8.8,36,0.0614,Normal,Monitor lane performance and maintain current operating plan
Agra - Ghaziabad,1,166,166,40.9865836817633,8.8,41,0.2302,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Agra - Guntur,2,2928.1,1464.05,78.2454895275946,39,49,0.0378,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Agra - Gurgaon,2,314.6,157.3,78.1516188687362,8.85,40,0.14285,Normal,Monitor lane performance and maintain current operating plan
Agra - Gwalior,1,84.7,84.7,53.337452507331,5.5,49,0.15,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Agra - Hubli,3,3503.9,1167.96666666667,64.9233920169265,36.4333333333333,59,0.108633333333333,Normal,Monitor lane performance and maintain current operating plan
Agra - Indore,3,1541.7,513.9,70.7233299107525,17.7,51.6666666666667,0.1425,Normal,Monitor lane performance and maintain current operating plan
Agra - Jabalpur,2,792.9,396.45,73.4388461458216,15.5,55,0.15605,Normal,Monitor lane performance and maintain current operating plan
Agra - Jaipur,1,202.9,202.9,93.9542463363034,8,53,0.1119,Normal,Monitor lane performance and maintain current operating plan
Agra - Jalandhar,1,463.1,463.1,48.485183431296,17.5,50,0.0696,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Agra - Kanpur,4,896.2,224.05,71.0455858628687,9.6,52.25,0.1092,Normal,Monitor lane performance and maintain current operating plan
Agra - Kochi,1,1579.3,1579.3,41.5721220603496,52,57,0.0496,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Agra - Kolkata,3,3483.6,1161.2,71.0101084605339,35.6666666666667,52,0.0701,Normal,Monitor lane performance and maintain current operating plan
Agra - Kota,2,588.2,294.1,88.8070307415349,11.4,50.5,0.0648,Normal,Monitor lane performance and maintain current operating plan
Agra - Ludhiana,1,364.9,364.9,54.9082188790313,14.9,55,0.1085,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Agra - Madurai,1,1591.4,1591.4,80.0762132041023,49.7,60,0.0963,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Agra - Mangalore,2,2691.1,1345.55,65.3580556954093,43.45,58.5,0.07965,Normal,Monitor lane performance and maintain current operating plan
Agra - Mumbai,1,949.3,949.3,49.3741669212059,30.2,57,0.1304,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Agra - Nashik,3,2160.4,720.133333333333,79.3343489915576,24.4333333333333,59.3333333333333,0.132833333333333,Normal,Monitor lane performance and maintain current operating plan
Agra - Noida,1,151.2,151.2,98.883946000385,8.5,41,0.1689,Normal,Monitor lane performance and maintain current operating plan
Agra - Panipat,1,250,250,69.6463735886389,10.4,50,0.0609,Normal,Monitor lane performance and maintain current operating plan
Agra - Patna,2,1755.2,877.6,84.1534910719563,26.2,44,0.04735,Normal,Monitor lane performance and maintain current operating plan
Agra - Prayagraj,1,433.6,433.6,72.3192008639162,14.4,53,0.1097,Normal,Monitor lane performance and maintain current operating plan
Agra - Pune,1,843.1,843.1,69.4770562799288,30.4,57,0.117,Normal,Monitor lane performance and maintain current operating plan
Agra - Raipur,2,1222.6,611.3,56.1271916406669,21.55,56.5,0.0744,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Agra - Rajkot,1,640.3,640.3,44.7261327464027,24.2,60,0.1433,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Agra - Ranchi,1,917.9,917.9,66.806013114205,26.8,49,0.0332,Normal,Monitor lane performance and maintain current operating plan
Agra - Rohtak,5,1110.8,222.16,67.6760193202395,8.54,51.6,0.13262,Normal,Monitor lane performance and maintain current operating plan
Agra - Salem,1,1543.4,1543.4,57.1958829043482,48.3,55,0.0488,High Emission + Low Utilization,"Consolidate loads, reduce empty movement, and shift dispatch windows to improve fill and cut emissions"
Agra - Siliguri,1,1333.6,1333.6,89.2784370470669,34.2,47,0.0464,Normal,Monitor lane performance and maintain current operating plan
Agra - Thiruvananthapuram,1,2044.1,2044.1,91.1282708670185,53.5,60,0.1245,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Agra - Udaipur,1,429.3,429.3,50.177515900052,16.7,53,0.0962,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Agra - Vadodara,2,1383.1,691.55,90.738573116517,20.9,56.5,0.19335,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Agra - Varanasi,3,1710.1,570.033333333333,73.8673265655533,18.4,49.3333333333333,0.0717333333333333,Normal,Monitor lane performance and maintain current operating plan
Agra - Vijayawada,1,977.1,977.1,72.0043739468357,32.7,60,0.0835,Normal,Monitor lane performance and maintain current operating plan
Agra - Visakhapatnam,1,1043.7,1043.7,43.4657513322563,31.9,60,0.0877,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Agra,3,1931.4,643.8,80.7772860884487,21.7,54.3333333333333,0.2091,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Amritsar,3,2835.7,945.233333333333,88.5264175241528,28.9666666666667,56.3333333333333,0.1737,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Aurangabad,4,1697,424.25,72.9318944190499,15.325,51.5,0.109675,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Belgaum,8,6098.8,762.35,64.1389727708504,25.7875,51.375,0.1489625,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Bhopal,2,912.9,456.45,78.2651983086024,16.55,51.5,0.0872,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Chandigarh,4,3607.2,901.8,76.6793755224151,27.9,54.5,0.18315,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Coimbatore,1,1389.3,1389.3,90.2354730228603,42.5,52,0.0643,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Ahmedabad - Delhi,1,661.2,661.2,96.0604125040189,23.1,55,0.1809,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Durgapur,2,3000.6,1500.3,65.5996338792224,43.1,55,0.11325,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Ahmedabad - Faridabad,3,2249.2,749.733333333333,71.2740962899842,24.4333333333333,50.3333333333333,0.238766666666667,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Ghaziabad,4,2772.5,693.125,64.5569853069386,23.5,55,0.203875,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Guwahati,6,10545.6,1757.6,84.6907369574288,55.3,54.8333333333333,0.106683333333333,High Emission Lane,"Review fuel mix, route choice, and vehicle assignment for lower-carbon operations"
Ahmedabad - Gwalior,1,614.4,614.4,52.5049096736895,20.3,55,0.1915,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
Ahmedabad - Hubli,4,3475.4,868.85,69.1162533153348,28.35,50.25,0.22395,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Hyderabad,2,1546.2,773.1,93.0430568508791,26.1,54,0.12745,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Indore,2,587.7,293.85,72.7787947578026,13.7,47,0.27155,Carbon Intensity Hotspot,"Deploy cleaner vehicles, reduce idling, and prioritize efficient routing on this corridor"
Ahmedabad - Jaipur,2,1055.7,527.85,76.9114056228336,20.1,46,0.15335,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Jalandhar,4,3285.1,821.275,65.568626857253,29.025,55.25,0.10535,Normal,Monitor lane performance and maintain current operating plan
Ahmedabad - Kanpur,1,701.4,701.4,44.0151715986837,26.3,53,0.0678,Low Utilization Lane,Bundle orders and improve capacity planning to raise payload utilization
